Clase,Metodo,Nombre del test,Descripcion,Datos de entrada,Resultado esperado,Resultado obtenido,OK/KO
PasarelaDePago,pagoCuenta,testCuentaYaPagada,Pago repetido devuelve false,importe=0,false,,
PasarelaDePago,pagoCuenta,testCuentaGeneraCodigo,Pago correcto genera codigo,12345678901234567890,codigoPago != 0,,
Cliente,constructor,testConstructorNombreMinusculas,Nombre se guarda en minusculas,nombre=ANTONIO,antonio,,
Cliente,constructor,testConstructorApellidosMayusculas,Apellidos se guardan en mayusculas,apellidos=garcia,GARCIA,,
Cliente,constructor,testConstructorTelefono,Telefono se guarda correctamente,telefono=630414951,630414951,,
Cliente,constructor,testConstructorHistorialVacio,Historial inicial vacio,nuevo cliente,historial.size()=0,,
Cliente,constructor,testConstructorFechaAlta,Fecha de alta no es null,nuevo cliente,fechaAlta != null,,
Cliente,agregarPedido,testAgregarPedidoPagado,Pedido pagado se anade al historial,pedido pagado,true,,
Cliente,agregarPedido,testAgregarPedidoNulo,Pedido nulo devuelve false,pedido=null,false,,
Cliente,agregarPedido,testAgregarPedidoNoPagado,Pedido sin pagar no se anade,pedido sin pagar,false,,
Cliente,agregarPedido,testAgregarPedidoOtroCliente,Pedido de otro cliente no se anade,pedido de otro cliente,false,,
Cliente,agregarPedido,testAgregarPedidoDuplicado,Pedido con misma fecha no se anade,pedido duplicado,false,,
Pedido,agregarProducto,testAgregarProductoValido,Producto se anade correctamente,producto valido,true,,
Pedido,agregarProducto,testAgregarProductoSumaPrecio,El total se actualiza al anadir,producto precio=1.0,importeTotal=1.0,,
Pedido,agregarProducto,testAgregarProductoPagado,No se puede anadir si esta pagado,pedido pagado,false,,
Pedido,agregarProducto,testAgregarVariosProductos,Varios productos suman bien,2 productos de 1.0,importeTotal=2.0,,
Pedido,agregarProducto,testAgregarProductoRedondeo,El total se redondea a 2 decimales,precio=1.005,importeTotal=1.01,,
Pedido,eliminarProducto,testEliminarProductoValido,Producto se elimina correctamente,posicion=0,true,,
Pedido,eliminarProducto,testEliminarProductoFueraRango,Posicion invalida devuelve false,posicion=-1,false,,
Pedido,eliminarProducto,testEliminarProductoRestaPrecio,El total se actualiza al eliminar,producto precio=1.0,importeTotal=0.0,,
Pedido,eliminarProducto,testEliminarProductoPagado,No se puede eliminar si esta pagado,pedido pagado,false,,
Pedido,eliminarProducto,testEliminarProductoPosicionGrande,Posicion mayor que lista devuelve false,posicion=99,false,,
Pedido,pagar,testPagarConTarjeta,Pago con tarjeta devuelve true,"tipoPago=2, dato=4111111111111111",true,,
Pedido,pagar,testPagarSinProductos,No se puede pagar sin productos,pedido vacio,false,,
Pedido,pagar,testPagarYaPagado,No se puede pagar dos veces,pedido pagado,false,,
Pedido,pagar,testPagarCambiaEstado,Estado cambia a PAGADO,"tipoPago=2, tarjeta valida",EstadoPedido.PAGADO,,
Pedido,pagar,testPagarMetodoInvalido,Metodo de pago invalido devuelve false,tipoPago=9,false,,
GestionPedidos,agregarCliente,testAgregarClienteValido,Cliente se anade y se puede buscar,cliente valido,buscarCliente != null,,
GestionPedidos,agregarCliente,testAgregarVariosClientes,Varios clientes se anaden bien,3 clientes,encuentra cada uno,,
GestionPedidos,buscarCliente,testBuscarClienteExistente,Encuentra cliente por telefono,telefono=630414951,cliente != null,,
GestionPedidos,buscarCliente,testBuscarClienteNoExiste,Devuelve null si no existe,telefono=000000000,null,,
GestionPedidos,buscarCliente,testBuscarClienteTelefonoVacio,Telefono vacio devuelve null,telefono=,null,,
GestionPedidos,obtenerProducto,testObtenerProductoValido,Devuelve producto en posicion 1,posicion=1,producto != null,,
GestionPedidos,obtenerProducto,testObtenerProductoPosicionCero,Posicion 0 devuelve null,posicion=0,null,,
GestionPedidos,obtenerProducto,testObtenerProductoPosicionNegativa,Posicion negativa devuelve null,posicion=-1,null,,
GestionPedidos,obtenerProducto,testObtenerProductoPosicionGrande,Posicion mayor que lista devuelve null,posicion=99,null,,
GestionPedidos,buscarProducto,testBuscarProductoExistente,Encuentra producto por nombre,nombre=AGUA,producto != null,,
GestionPedidos,buscarProducto,testBuscarProductoNoExiste,Devuelve null si no existe,nombre=PATATAS,null,,
GestionPedidos,buscarProducto,testBuscarProductoMinusculas,Nombre en minusculas no encuentra,nombre=agua,null,,
GestionPedidos,guardar,testGuardarCreaFichero,El fichero se crea correctamente,nombre=test.dat,fichero existe,,
GestionPedidos,guardar,testGuardarYRecuperar,Guardar y recuperar devuelve mismos datos,guardar y recuperar,datos iguales,,
GestionPedidos,recuperar,testRecuperarFicheroNoExiste,Fichero inexistente no lanza excepcion,nombre=noexiste.dat,no excepcion,,
GestionPedidos,recuperarAgregar,testRecuperarAgregarSinDuplicar,No duplica clientes existentes,mismo cliente dos veces,1 cliente,,
GestionPedidos,recuperarAgregar,testRecuperarAgregarNuevoCliente,Anade clientes nuevos,cliente nuevo,2 clientes,,
GestionPedidos,recuperarAgregar,testRecuperarAgregarProductosDuplicados,No duplica productos,mismo producto dos veces,1 producto,,
